Month of Death,Age at death,Last COVID-19 dose number,Days between last vaccination and death,Count
2021-12,81 to 100,3,<= 90,<5
2022-01,0 to 20,0,N/A,60
2022-01,0 to 20,1,<= 90,<5
2022-01,0 to 20,2,<= 180,<5
2022-01,0 to 20,2,<= 30,<5
2022-01,0 to 20,2,<= 90,5
2022-01,100+,0,N/A,<5
2022-01,100+,2,<= 180,<5
2022-01,100+,2,<= 365,<5
2022-01,100+,2,<= 90,<5
2022-01,100+,3,<= 30,7
2022-01,100+,3,<= 90,<5
2022-01,21 to 40,0,N/A,16
2022-01,21 to 40,1,<= 180,<5
2022-01,21 to 40,1,<= 30,<5
2022-01,21 to 40,1,<= 90,<5
2022-01,21 to 40,2,<= 180,18
2022-01,21 to 40,2,<= 30,5
2022-01,21 to 40,2,<= 365,<5
2022-01,21 to 40,2,<= 90,28
2022-01,21 to 40,3,<= 30,<5
2022-01,21 to 40,3,<= 90,<5
2022-01,41 to 60,0,N/A,46
2022-01,41 to 60,1,<= 180,5
2022-01,41 to 60,1,<= 30,<5
2022-01,41 to 60,1,<= 90,9
2022-01,41 to 60,2,<= 180,99
2022-01,41 to 60,2,<= 30,15
2022-01,41 to 60,2,<= 365,16
2022-01,41 to 60,2,<= 90,87
2022-01,41 to 60,3,<= 30,15
2022-01,41 to 60,3,<= 90,27
2022-01,61 to 80,0,N/A,85
2022-01,61 to 80,1,<= 180,<5
2022-01,61 to 80,1,<= 30,<5
2022-01,61 to 80,1,<= 365,<5
2022-01,61 to 80,1,<= 90,19
2022-01,61 to 80,2,<= 180,391
2022-01,61 to 80,2,<= 30,19
2022-01,61 to 80,2,<= 365,164
2022-01,61 to 80,2,<= 90,143
2022-01,61 to 80,3,<= 180,<5
2022-01,61 to 80,3,<= 30,132
2022-01,61 to 80,3,<= 90,105
2022-01,81 to 100,0,N/A,79
2022-01,81 to 100,1,<= 180,6
2022-01,81 to 100,1,<= 30,12
2022-01,81 to 100,1,<= 365,<5
2022-01,81 to 100,1,<= 90,16
2022-01,81 to 100,2,<= 180,373
2022-01,81 to 100,2,<= 30,12
2022-01,81 to 100,2,<= 365,277
2022-01,81 to 100,2,<= 90,131
2022-01,81 to 100,3,<= 30,245
2022-01,81 to 100,3,<= 90,187
2022-02,0 to 20,0,N/A,61
2022-02,0 to 20,1,<= 30,<5
2022-02,0 to 20,1,<= 90,<5
2022-02,0 to 20,2,<= 180,5
2022-02,0 to 20,2,<= 30,<5
2022-02,0 to 20,2,<= 90,5
2022-02,100+,2,<= 180,<5
2022-02,100+,2,<= 365,<5
2022-02,100+,2,<= 90,<5
2022-02,100+,3,<= 30,<5
2022-02,100+,3,<= 90,7
2022-02,21 to 40,0,N/A,6
2022-02,21 to 40,1,<= 180,<5
2022-02,21 to 40,1,<= 30,<5
2022-02,21 to 40,1,<= 90,5
2022-02,21 to 40,2,<= 180,25
2022-02,21 to 40,2,<= 30,<5
2022-02,21 to 40,2,<= 365,<5
2022-02,21 to 40,2,<= 90,22
2022-02,21 to 40,3,<= 180,<5
2022-02,21 to 40,3,<= 30,<5
2022-02,21 to 40,3,<= 90,7
2022-02,41 to 60,0,N/A,36
2022-02,41 to 60,1,<= 180,9
2022-02,41 to 60,1,<= 30,<5
2022-02,41 to 60,1,<= 90,9
2022-02,41 to 60,2,<= 180,97
2022-02,41 to 60,2,<= 30,<5
2022-02,41 to 60,2,<= 365,13
2022-02,41 to 60,2,<= 90,34
2022-02,41 to 60,3,<= 180,5
2022-02,41 to 60,3,<= 30,44
2022-02,41 to 60,3,<= 90,37
2022-02,61 to 80,0,N/A,72
2022-02,61 to 80,1,<= 180,6
2022-02,61 to 80,1,<= 30,5
2022-02,61 to 80,1,<= 365,<5
2022-02,61 to 80,1,<= 90,7
2022-02,61 to 80,2,<= 180,218
2022-02,61 to 80,2,<= 30,9
2022-02,61 to 80,2,<= 365,109
2022-02,61 to 80,2,<= 90,43
2022-02,61 to 80,3,<= 180,7
2022-02,61 to 80,3,<= 30,214
2022-02,61 to 80,3,<= 90,271
2022-02,61 to 80,4,<= 30,<5
2022-02,81 to 100,0,N/A,64
2022-02,81 to 100,1,<= 180,<5
2022-02,81 to 100,1,<= 30,<5
2022-02,81 to 100,1,<= 365,<5
2022-02,81 to 100,1,<= 90,5
2022-02,81 to 100,2,<= 180,169
2022-02,81 to 100,2,<= 30,6
2022-02,81 to 100,2,<= 365,129
2022-02,81 to 100,2,<= 90,63
2022-02,81 to 100,3,<= 180,12
2022-02,81 to 100,3,<= 30,324
2022-02,81 to 100,3,<= 90,476
2022-03,0 to 20,0,N/A,48
2022-03,0 to 20,2,<= 180,<5
2022-03,0 to 20,2,<= 30,<5
2022-03,0 to 20,2,<= 90,<5
2022-03,0 to 20,3,<= 30,<5
2022-03,0 to 20,3,<= 90,<5
2022-03,100+,0,N/A,6
2022-03,100+,2,<= 180,<5
2022-03,100+,2,<= 365,<5
2022-03,100+,3,<= 180,7
2022-03,100+,3,<= 90,7
2022-03,21 to 40,0,N/A,14
2022-03,21 to 40,1,<= 180,<5
2022-03,21 to 40,1,<= 90,<5
2022-03,21 to 40,2,<= 180,28
2022-03,21 to 40,2,<= 30,<5
2022-03,21 to 40,2,<= 365,<5
2022-03,21 to 40,2,<= 90,8
2022-03,21 to 40,3,<= 180,<5
2022-03,21 to 40,3,<= 30,10
2022-03,21 to 40,3,<= 90,13
2022-03,41 to 60,0,N/A,44
2022-03,41 to 60,1,<= 180,<5
2022-03,41 to 60,1,<= 365,<5
2022-03,41 to 60,1,<= 90,<5
2022-03,41 to 60,2,<= 180,75
2022-03,41 to 60,2,<= 30,<5
2022-03,41 to 60,2,<= 365,17
2022-03,41 to 60,2,<= 90,15
2022-03,41 to 60,3,<= 180,21
2022-03,41 to 60,3,<= 30,45
2022-03,41 to 60,3,<= 90,95
2022-03,41 to 60,4,<= 30,<5
2022-03,61 to 80,0,N/A,93
2022-03,61 to 80,1,<= 180,11
2022-03,61 to 80,1,<= 30,6
2022-03,61 to 80,1,<= 365,6
2022-03,61 to 80,1,<= 90,5
2022-03,61 to 80,2,<= 180,164
2022-03,61 to 80,2,<= 30,<5
2022-03,61 to 80,2,<= 365,87
2022-03,61 to 80,2,<= 90,27
2022-03,61 to 80,3,<= 180,123
2022-03,61 to 80,3,<= 30,93
2022-03,61 to 80,3,<= 90,550
2022-03,61 to 80,4,<= 30,13
2022-03,61 to 80,4,<= 90,<5
2022-03,81 to 100,0,N/A,111
2022-03,81 to 100,1,<= 180,11
2022-03,81 to 100,1,<= 30,<5
2022-03,81 to 100,1,<= 365,<5
2022-03,81 to 100,1,<= 90,5
2022-03,81 to 100,2,<= 180,132
2022-03,81 to 100,2,<= 30,<5
2022-03,81 to 100,2,<= 365,108
2022-03,81 to 100,2,<= 90,44
2022-03,81 to 100,3,<= 180,227
2022-03,81 to 100,3,<= 30,123
2022-03,81 to 100,3,<= 365,<5
2022-03,81 to 100,3,<= 90,870
2022-03,81 to 100,4,<= 30,<5
2022-03,81 to 100,4,<= 90,<5
2022-04,0 to 20,0,N/A,62
2022-04,0 to 20,2,<= 180,6
2022-04,0 to 20,2,<= 365,<5
2022-04,0 to 20,2,<= 90,<5
2022-04,0 to 20,3,<= 90,<5
2022-04,100+,0,N/A,<5
2022-04,100+,1,<= 365,<5
2022-04,100+,2,<= 180,<5
2022-04,100+,2,<= 365,<5
2022-04,100+,3,<= 180,<5
2022-04,100+,3,<= 90,8
2022-04,21 to 40,0,N/A,15
2022-04,21 to 40,1,<= 180,5
2022-04,21 to 40,1,<= 90,<5
2022-04,21 to 40,2,<= 180,27
2022-04,21 to 40,2,<= 365,5
2022-04,21 to 40,2,<= 90,<5
2022-04,21 to 40,3,<= 180,5
2022-04,21 to 40,3,<= 30,<5
2022-04,21 to 40,3,<= 90,19
2022-04,21 to 40,4,<= 90,<5
2022-04,41 to 60,0,N/A,36
2022-04,41 to 60,1,<= 180,<5
2022-04,41 to 60,1,<= 365,<5
2022-04,41 to 60,1,<= 90,5
2022-04,41 to 60,2,<= 180,53
2022-04,41 to 60,2,<= 30,<5
2022-04,41 to 60,2,<= 365,19
2022-04,41 to 60,2,<= 90,5
2022-04,41 to 60,3,<= 180,52
2022-04,41 to 60,3,<= 30,<5
2022-04,41 to 60,3,<= 90,109
2022-04,41 to 60,4,<= 30,<5
2022-04,41 to 60,4,<= 90,<5
2022-04,61 to 80,0,N/A,91
2022-04,61 to 80,1,<= 180,10
2022-04,61 to 80,1,<= 30,<5
2022-04,61 to 80,1,<= 365,<5
2022-04,61 to 80,1,<= 90,<5
2022-04,61 to 80,2,<= 180,95
2022-04,61 to 80,2,<= 30,<5
2022-04,61 to 80,2,<= 365,80
2022-04,61 to 80,2,<= 90,13
2022-04,61 to 80,3,<= 180,384
2022-04,61 to 80,3,<= 30,29
2022-04,61 to 80,3,<= 365,<5
2022-04,61 to 80,3,<= 90,420
2022-04,61 to 80,4,<= 30,16
2022-04,61 to 80,4,<= 90,22
2022-04,81 to 100,0,N/A,98
2022-04,81 to 100,1,<= 180,6
2022-04,81 to 100,1,<= 30,<5
2022-04,81 to 100,1,<= 365,8
2022-04,81 to 100,1,<= 90,5
2022-04,81 to 100,2,<= 180,72
2022-04,81 to 100,2,<= 30,<5
2022-04,81 to 100,2,<= 365,75
2022-04,81 to 100,2,<= 90,13
2022-04,81 to 100,3,<= 180,640
2022-04,81 to 100,3,<= 30,22
2022-04,81 to 100,3,<= 90,593
2022-04,81 to 100,4,<= 30,<5
2022-04,81 to 100,4,<= 90,<5
2022-05,0 to 20,0,N/A,75
2022-05,0 to 20,1,<= 180,<5
2022-05,0 to 20,1,<= 90,<5
2022-05,0 to 20,2,<= 180,<5
2022-05,0 to 20,2,<= 30,<5
2022-05,0 to 20,2,<= 365,7
2022-05,0 to 20,3,<= 180,<5
2022-05,0 to 20,3,<= 90,<5
2022-05,100+,0,N/A,<5
2022-05,100+,2,<= 180,5
2022-05,100+,3,<= 180,13
2022-05,100+,3,<= 90,<5
2022-05,21 to 40,0,N/A,12
2022-05,21 to 40,1,<= 180,<5
2022-05,21 to 40,1,<= 365,<5
2022-05,21 to 40,2,<= 180,15
2022-05,21 to 40,2,<= 365,9
2022-05,21 to 40,2,<= 90,<5
2022-05,21 to 40,3,<= 180,11
2022-05,21 to 40,3,<= 90,16
2022-05,41 to 60,0,N/A,56
2022-05,41 to 60,1,<= 180,<5
2022-05,41 to 60,1,<= 365,<5
2022-05,41 to 60,2,<= 180,40
2022-05,41 to 60,2,<= 365,57
2022-05,41 to 60,2,<= 90,6
2022-05,41 to 60,3,<= 180,129
2022-05,41 to 60,3,<= 365,5
2022-05,41 to 60,3,<= 90,54
2022-05,41 to 60,4,<= 180,<5
2022-05,41 to 60,4,<= 30,<5
2022-05,41 to 60,4,<= 90,8
2022-05,61 to 80,0,N/A,86
2022-05,61 to 80,1,<= 180,<5
2022-05,61 to 80,2,366 +,<5
2022-05,61 to 80,2,<= 180,45
2022-05,61 to 80,2,<= 365,115
2022-05,61 to 80,2,<= 90,7
2022-05,61 to 80,3,<= 180,773
2022-05,61 to 80,3,<= 30,<5
2022-05,61 to 80,3,<= 365,12
2022-05,61 to 80,3,<= 90,137
2022-05,61 to 80,4,<= 180,<5
2022-05,61 to 80,4,<= 30,5
2022-05,61 to 80,4,<= 90,47
2022-05,81 to 100,0,N/A,79
2022-05,81 to 100,1,366 +,<5
2022-05,81 to 100,1,<= 180,5
2022-05,81 to 100,1,<= 365,<5
2022-05,81 to 100,1,<= 90,<5
2022-05,81 to 100,2,<= 180,57
2022-05,81 to 100,2,<= 365,105
2022-05,81 to 100,2,<= 90,21
2022-05,81 to 100,3,<= 180,1200
2022-05,81 to 100,3,<= 30,15
2022-05,81 to 100,3,<= 365,8
2022-05,81 to 100,3,<= 90,167
2022-05,81 to 100,4,<= 180,<5
2022-05,81 to 100,4,<= 30,<5
2022-05,81 to 100,4,<= 90,7
2022-06,0 to 20,0,N/A,57
